iter	RMSE
0	6.610726228
1	6.470617545
2	6.331951459
3	6.201593948
4	6.075708185
5	5.954587275
6	5.835749279
7	5.715344257
8	5.60703951
9	5.50539988
10	5.40301203
11	5.304147653
12	5.209366734
13	5.120195173
14	5.037418839
15	4.949853005
16	4.866538612
17	4.785796865
18	4.711538793
19	4.639411027
20	4.567583251
21	4.5039401
22	4.437047942
23	4.373429912
24	4.314444852
25	4.256841141
26	4.201437614
27	4.152172055
28	4.100108654
29	4.053242953
30	4.007139639
31	3.962032479
32	3.920634671
33	3.879888451
34	3.843059287
35	3.80258929
36	3.766852658
37	3.733568349
38	3.699197571
39	3.663426296
40	3.630192226
41	3.600452421
42	3.572035545
43	3.544482795
44	3.518833932
45	3.495472121
46	3.473000913
47	3.449944253
48	3.426134891
49	3.406176387
50	3.38557041
51	3.365149788
52	3.346610228
53	3.327988571
54	3.310243617
55	3.293571571
56	3.277794187
57	3.262734627
58	3.24844375
59	3.234184642
60	3.2206179
61	3.20784479
62	3.19503348
63	3.182889576
64	3.171242926
65	3.159437293
66	3.149064955
67	3.138848984
68	3.125219337
69	3.113204196
70	3.104185364
71	3.095497283
72	3.086023474
73	3.076873482
74	3.066139246
75	3.056558479
76	3.047837004
77	3.038867733
78	3.030768703
79	3.021290597
80	3.013609519
81	3.005877818
82	2.998857472
83	2.990408516
84	2.983965887
85	2.976775517
86	2.968572531
87	2.962174463
88	2.956169257
89	2.950763156
90	2.94379711
91	2.937613158
92	2.932634936
93	2.924827219
94	2.919875712
95	2.914409597
96	2.908848854
97	2.901925869
98	2.896698604
99	2.892227192
100	2.887037116
101	2.883466602
102	2.87787843
103	2.872804499
104	2.865450392
105	2.859455367
106	2.854437425
107	2.848713367
108	2.84518973
109	2.839719773
110	2.836528582
111	2.832344305
112	2.823313472
113	2.81976046
114	2.816203263
115	2.811327756
116	2.806605573
117	2.804117123
118	2.801519356
119	2.796776772
120	2.788029598
121	2.784817218
122	2.779059094
123	2.776361248
124	2.772217736
125	2.767610862
126	2.761949759
127	2.756673493
128	2.752650258
129	2.748615729
130	2.745419235
131	2.740550399
132	2.737687425
133	2.733364179
134	2.727673542
135	2.725578051
136	2.721436646
137	2.71915405
138	2.715449023
139	2.711452585
140	2.707715842
141	2.703243423
142	2.699283664
143	2.695505816
144	2.690296994
145	2.686377955
146	2.682987932
147	2.680503099
