iter	Passed	Remaining
0	1525	1523565
1	3168	1580963
2	4673	1553177
3	6169	1536203
4	7681	1528696
5	8927	1479001
6	10243	1453132
7	11613	1440099
8	12922	1422869
9	14210	1406872
10	15523	1395716
11	16820	1384859
12	18063	1371433
13	19311	1360096
14	20648	1355899
15	21939	1349270
16	23216	1342483
17	24406	1331515
18	25659	1324843
19	26912	1318731
20	28125	1311201
21	29343	1304473
22	30536	1297127
23	31681	1288375
24	32865	1281771
25	34029	1274792
26	35184	1267935
27	36477	1266305
28	36576	1224692
29	37776	1221443
30	38931	1216926
31	40089	1212708
32	41272	1209414
33	42459	1206342
34	43804	1207743
35	44949	1203652
36	46112	1200158
37	47308	1197651
38	48444	1193733
39	49566	1189595
40	50707	1186052
41	51982	1185702
42	53214	1184323
43	54425	1182525
44	55700	1182079
45	56922	1180512
46	58126	1178602
47	59279	1175712
48	60411	1172474
49	61596	1170334
50	62777	1168151
51	63910	1165145
52	65053	1162365
53	66219	1160074
54	67491	1159630
55	68884	1161192
56	70080	1159399
57	71283	1157741
58	72493	1156213
59	73683	1154377
60	74905	1153055
61	76130	1151782
62	77377	1150841
63	78617	1149776
64	79782	1147635
65	81023	1146607
66	82254	1145424
67	83523	1144762
68	84880	1145269
69	86222	1145530
70	87378	1143302
71	88558	1141423
72	89764	1139883
73	90917	1137693
74	92178	1136873
75	93410	1135679
76	94616	1134171
77	95852	1133023
78	97001	1130867
79	98228	1129629
80	99508	1128997
81	100751	1127930
82	101966	1126545
83	103214	1125533
84	104347	1123275
85	105562	1121903
86	106815	1120944
87	107971	1118975
88	109161	1117370
89	110313	1115395
90	111555	1114328
91	112734	1112640
92	113871	1110548
93	115236	1110687
94	116404	1108907
95	117589	1107303
96	118885	1106741
97	120357	1107783
98	121861	1109061
99	123275	1109476
100	124686	1109831
101	126025	1109520
102	127545	1110757
103	128759	1109308
104	130093	1108891
105	131501	1109078
106	132804	1108356
107	134171	1108157
108	135612	1108538
109	137046	1108833
110	138441	1108778
111	139891	1109137
112	141472	1110492
113	142793	1109779
114	144155	1109367
115	145717	1110470
116	147241	1111232
117	148499	1109971
118	149828	1109236
119	151183	1108677
120	152684	1109173
121	154069	1108795
122	155573	1109249
123	156904	1108451
124	158265	1107857
125	159620	1107206
126	161039	1106990
127	162649	1108052
128	164090	1107929
129	165532	1107796
130	166965	1107578
131	168490	1107949
132	170020	1108328
133	171404	1107735
134	173019	1108603
135	174430	1108143
136	175930	1108232
137	177297	1107468
138	178779	1107405
139	180282	1107452
140	181673	1106793
141	183131	1106526
142	184523	1105850
143	185919	1105186
144	187381	1104906
145	188788	1104283
146	190159	1103442
147	191538	1102640
148	193124	1103013
149	194478	1102047
150	195997	1101996
151	197364	1101083
152	198736	1100195
153	200114	1099330
154	201547	1098756
155	202910	1097800
156	204363	1097313
157	205674	1096061
158	207083	1095326
159	208566	1094974
160	210041	1094566
161	211442	1093756
162	212859	1093028
163	214196	1091880
164	215584	1090988
165	216972	1090088
166	218326	1089018
167	219674	1087911
168	221085	1087114
169	222473	1086195
170	223921	1085563
171	225432	1085221
172	226868	1084512
173	228234	1083459
174	229660	1082686
175	231024	1081615
176	232494	1081035
177	233801	1079688
178	235225	1078881
179	236576	1077736
180	237917	1076545
181	239349	1075756
182	240971	1075814
183	242309	1074590
184	243659	1073419
185	245073	1072528
186	246473	1071566
187	247912	1070771
188	249269	1069615
189	250708	1068810
190	252116	1067864
191	253517	1066884
192	254913	1065881
